Name,No,Negara,QS Rank 2026,CWUR Rank 2025,THE Rank 2025,THE CS Rank 2025
Kyoto University,39,Jepang,57.0,24.0,55.0,67.0
Technical University of Munich,40,Jerman,22.0,77.0,26.0,
The Australian National University,41,Australia,,,,
Ludwig-Maximilians-Universität München,42,Jerman,58.0,,,
University of Washington,43,Amerika Serikat,81.0,26.0,25.0,18.0
The University of Queensland,44,Australia,42.0,,77.0,
Fudan University,45,Tiongkok,30.0,73.0,36.0,58.0
The University of Sydney,46,Australia,25.0,,61.0,69.0
Carnegie Mellon University,47,Amerika Serikat,52.0,97.0,24.0,6.0
Ruprecht-Karls-Universitaet Heidelberg,48,Jerman,,,,
University of Texas at Austin,49,Amerika Serikat,68.0,36.0,50.0,31.0
Seoul National University,50,Korea Selatan,38.0,31.0,62.0,49.0
The Chinese University of Hong Kong,51,Hong Kong,32.0,,44.0,
The University of New South Wales (UNSW Australia),52,Australia,,,,
Zhejiang University,53,Tiongkok,49.0,68.0,47.0,
University of Wisconsin-Madison,54,Amerika Serikat,110.0,,56.0,63.0
KU Leuven,55,Belgia,60.0,105.0,,
Monash University,56,Australia,36.0,117.0,58.0,61.0
University of Illinois at Urbana-Champaign,57,Amerika Serikat,70.0,,46.0,21.0
Shanghai Jiao Tong University,58,Tiongkok,47.0,61.0,52.0,33.0
"University of North Carolina, Chapel Hill",59,Amerika Serikat,140.0,,,
Washington University in St. Louis,60,Amerika Serikat,167.0,47.0,,
London School of Economics and Political Science (LSE),61,Inggris,56.0,361.0,50.0,
University of Zurich,62,Swiss,100.0,62.0,,
Sorbonne University,63,Perancis,,43.0,76.0,77.0
University of Amsterdam,64,Belanda,53.0,83.0,58.0,72.0
University of Copenhagen,65,Denmark,101.0,38.0,97.0,126.0
Brown University,66,Amerika Serikat,69.0,71.0,58.0,71.0
University of Bristol,67,Inggris,51.0,101.0,78.0,
Georgia Institute of Technology,68,Amerika Serikat,123.0,74.0,40.0,22.0
Utrecht University,69,Belanda,103.0,78.0,,
The University of Warwick,70,Inggris,74.0,,,
Hong Kong University of Science and Technology,71,Hong Kong,44.0,201.0,66.0,
Université Paris-Saclay,72,Perancis,70.0,,64.0,54.0
University of Southern California,73,Amerika Serikat,146.0,54.0,72.0,64.0
University of Science and Technology of China,74,Tiongkok,132.0,96.0,53.0,
Delft University of Technology,75,Belanda,47.0,269.0,56.0,45.0
Boston University,76,Amerika Serikat,88.0,99.0,75.0,101.0
"University of California, Davis",77,Amerika Serikat,114.0,60.0,62.0,101.0
Leiden University,78,Belanda,119.0,88.0,,
Wageningen University,79,Belanda,,,,
Hong Kong Polytechnic University,80,Hong Kong,54.0,203.0,,
University of Groningen,81,Belanda,147.0,104.0,80.0,126.0
"University of California, Santa Barbara (UCSB)",82,Amerika Serikat,179.0,112.0,67.0,
University of Helsinki,83,Finlandia,116.0,127.0,107.0,176.0
KAIST - Korea Advanced Institute of Science & Technology,84,Korea Selatan,,,,
University of Oslo,85,Norwegia,119.0,87.0,116.0,126.0
University of Glasgow,86,Inggris,79.0,131.0,87.0,
Université de Montréal,87,Kanada,,,,
University of Birmingham,88,Inggris,76.0,93.0,93.0,176.0
Purdue University,89,Amerika Serikat,88.0,66.0,79.0,
McMaster University,90,Kanada,173.0,186.0,,
The University of Sheffield,91,Inggris,92.0,,,
Ghent University,92,Belgia,162.0,128.0,112.0,
The University of Western Australia,93,Australia,77.0,,149.0,251.0
"University of Maryland, College Park",94,Amerika Serikat,207.0,92.0,112.0,56.0
Ohio State University,95,Amerika Serikat,190.0,55.0,116.0,
The University of Adelaide,96,Australia,,,,
University of Bern,97,Swiss,184.0,139.0,104.0,251.0
Lomonosov Moscow State  University,98,Rusia,,,,
National Taiwan University (NTU),99,Taiwan,63.0,113.0,172.0,
City University of Hong Kong,100,Hong Kong,63.0,217.0,,
Alfaisal University,101,Arab Saudi,801.0,1766.0,,
King Fahd University of Petroleum & Minerals,102,Arab Saudi,67.0,,,
King Saud University,103,Arab Saudi,143.0,326.0,251.0,176.0
King Abdulaziz University (KAU),104,Arab Saudi,,249.0,,
Technische Universitat Graz,105,Austria,,,,
Technische Universitat Wien,106,Austria,,,,
Universität Innsbruck,107,Austria,350.0,,,
University of Vienna,108,Austria,152.0,199.0,110.0,126.0
Université Catholique de Louvain (UCL),109,Belgia,191.0,,175.0,
Université Libre de Bruxelles,110,Belgia,227.0,,201.0,301.0
Aalborg University,111,Denmark,306.0,332.0,251.0,176.0
Aarhus University,112,Denmark,131.0,100.0,110.0,98.0
Technical University of Denmark,113,Denmark,107.0,206.0,124.0,101.0
Aalto University,114,Finlandia,114.0,352.0,196.0,88.0
University of Oulu,115,Finlandia,342.0,464.0,251.0,
University of Turku,116,Finlandia,366.0,394.0,301.0,
National University of Ireland Galway,117,Irlandia,,,,
Trinity College Dublin,118,Irlandia,,259.0,139.0,176.0
University College Cork,119,Irlandia,246.0,545.0,351.0,501.0
University College Dublin,120,Irlandia,118.0,299.0,201.0,101.0
Reykjavík University,121,Islandia,,,801.0,801.0
University of Iceland,122,Islandia,582.0,635.0,501.0,
Alma Mater Studiorum - University of Bologna,123,Italia,138.0,,,
Politecnico di Milano,124,Italia,98.0,,201.0,
Sapienza University of Rome,125,Italia,128.0,125.0,185.0,101.0
Università degli Studi di Padova (UNIPD),126,Italia,,,,
Tohoku University,127,Jepang,109.0,158.0,120.0,101.0
Tokyo Institute of Technology,128,Jepang,85.0,,195.0,90.0
Albert-Ludwigs-Universitaet Freiburg,129,Jerman,,,,
Sungkyunkwan University (SKKU),130,Korea Selatan,126.0,195.0,,
Yonsei University,131,Korea Selatan,50.0,143.0,,
University of Luxembourg,132,Luksemburg,381.0,790.0,201.0,151.0
Universiti Malaya (UM),133,Malaysia,58.0,,,
Universiti Putra Malaysia (UPM),134,Malaysia,134.0,,601.0,
Universiti Sains Malaysia (USM),135,Malaysia,134.0,,401.0,
Universiti Teknologi Malaysia,136,Malaysia,153.0,,401.0,301.0
Norwegian University of Science and Technology,137,Norwegia,,182.0,301.0,176.0
UiT The Arctic University of Norway,138,Norwegia,,,601.0,601.0
University of Bergen,139,Norwegia,287.0,303.0,251.0,501.0
Institut Polytechnique de Paris,140,Perancis,41.0,35.0,71.0,42.0
Qatar University,141,Qatar,112.0,771.0,201.0,101.0
The University of Auckland,142,Selandia Baru,65.0,,,
University of Canterbury,143,Selandia Baru,261.0,616.0,,
University of Otago,144,Selandia Baru,197.0,402.0,351.0,401.0
Victoria University of Wellington,145,Selandia Baru,240.0,719.0,401.0,301.0
Singapore Management University,146,Singapura,511.0,1217.0,,
Universidad Autónoma de Madrid,147,Spanyol,206.0,,,
Universitat Autònoma de Barcelona,148,Spanyol,,,,
Universitat de Barcelona,149,Spanyol,,,,
Universitat Pompeu Fabra,150,Spanyol,265.0,,,
Lund University,151,Swedia,72.0,130.0,95.0,251.0
Stockholm University,152,Swedia,147.0,153.0,191.0,401.0
University of Gothenburg,153,Swedia,202.0,175.0,201.0,501.0
Uppsala University,154,Swedia,93.0,91.0,130.0,251.0
National Tsing Hua University,155,Taiwan,176.0,461.0,401.0,201.0
National Yang Ming Chiao Tung University,156,Taiwan,199.0,328.0,,
Taipei Medical University,157,Taiwan,597.0,720.0,401.0,
University of Waterloo,158,Kanada,119.0,211.0,163.0,43.0
